No,Model Outputs
616,36.2597337
619,36.00041023
620,35.77673768
656,34.84990768
657,35.06790519
658,35.37960029
659,35.17329831
660,34.58266955
661,34.30381695
662,34.40439659
697,33.72957877
698,33.6021071
699,33.46970089
700,33.23383149
701,32.66573414
702,32.19606816
739,32.17950722
740,31.91333451
741,32.12175834
742,30.81622968
781,31.33446451
586,67.4688699
626,54.58861388
627,61.50577985
628,65.90652527
667,52.65585541
668,54.70938145
669,62.41496179
709,49.14070559
589,39.22177051
629,56.99924093
630,47.80553732
671,50.98716036
590,19.14431942
631,20.18078229
632,18.58381965
672,21.3870372
673,19.9032553
675,27.19255086
713,23.08626914
714,23.666471
715,26.63830567
716,29.63326803
754,24.51337889
606,29.22989692
647,29.84616604
648,30.10025449
687,29.66204814
688,30.12596838
689,30.18955468
690,31.56143664
728,33.67715241
729,30.19297914
730,30.3112563
731,31.32122008
769,35.3076996
770,34.0238527
771,36.96250333
772,35.32286773
812,47.30565642
813,43.47065903
610,34.74227811
651,35.79743891
652,35.0110159
692,36.40590535
693,36.23463293
694,35.99558799
732,37.00617973
733,36.65425412
734,36.90891641
735,36.79373862
736,38.27157682
774,37.01739306
775,37.42662205
776,38.16582702
816,37.91631786
817,38.06768263
663,45.42703345
703,44.65710287
704,44.85083981
705,41.34714553
743,41.44165295
744,42.43490558
745,42.15881573
782,43.1445675
783,42.66324436
784,42.61317681
822,42.00367658
823,43.17232342
666,35.31800207
706,30.86596292
707,33.22472181
708,39.901903
747,30.26474425
748,31.53386722
749,35.24843471
670,50.66372494
710,36.73873932
711,38.92284514
712,40.26653265
750,34.69808704
751,32.64229789
752,34.77396506
753,37.4432921
788,29.83507825
789,31.52398262
790,32.62141382
791,33.3312067
792,34.45087311
830,33.67139024
696,36.99623368
737,37.94894165
717,51.59163875
755,50.6184224
756,55.90456327
757,52.06796258
758,45.99253804
796,49.70844755
797,51.28363093
798,46.16317857
799,40.78557687
838,45.03937253
839,43.80897091
718,46.0709058
759,43.61202828
760,42.78950238
800,43.34901102
801,44.18793512
840,42.33144171
841,44.69302699
842,46.10137628
843,44.84390127
880,41.87533226
881,44.98007369
882,45.84671234
883,45.78526168
884,43.92813441
885,41.74985596
922,44.92276506
923,46.06839699
924,44.21111637
964,44.96779258
719,38.13614795
761,37.61097568
802,38.09212578
803,38.01675355
844,37.47273236
845,36.675272
886,36.16582796
927,35.1903246
928,38.04106317
969,38.11080795
1010,37.9003563
720,33.21938088
721,35.97724136
722,40.80974432
723,45.9695256
724,45.02588934
762,32.99148884
763,33.72748975
764,33.07732551
765,38.17209547
804,31.9701265
805,32.16317253
806,35.91172887
846,31.23452326
847,33.77329378
887,32.00621893
725,44.86071334
726,49.33289301
766,49.83594555
767,56.7087225
768,48.82816822
807,48.466367
808,47.36212838
809,43.96485209
810,38.94590692
848,44.96687958
849,44.8372036
850,39.86264204
851,36.750313
852,42.1749791
888,38.45381728
889,40.17966844
890,40.53615019
891,36.79113484
892,34.89041664
931,36.8886544
932,34.65695914
738,20.42188376
779,19.89042625
780,19.32794385
820,19.4549717
821,18.82834187
861,19.32681294
862,18.76748166
863,18.99710624
902,19.78319343
903,18.95963987
943,19.99686215
944,19.33656955
746,33.34551155
786,36.00298663
787,33.07723009
828,35.55741096
829,36.35519468
869,37.8718973
870,37.91886907
910,38.96870744
911,38.60013293
992,39.59396377
1032,37.96253724
1033,38.79457387
1074,38.98716629
773,41.61518666
814,43.04494135
815,42.38799218
854,55.42620414
855,44.23515848
856,42.6525745
857,43.21487805
896,47.23734883
897,45.44524078
898,44.26261252
938,47.71544595
777,41.10811662
818,39.80510487
858,39.10709142
859,37.49275955
899,38.85874854
900,36.61868303
901,35.21508885
939,41.90566974
940,39.3823535
941,37.2322605
942,36.51292578
980,43.84986718
981,39.61832003
982,37.97262708
983,38.32498077
1021,49.10288624
1022,42.98348819
778,34.11661966
819,32.53738357
860,30.14098789
785,19.84149906
824,20.14770293
825,20.4718156
826,21.37039153
827,20.46690376
864,19.75535766
865,20.09767017
866,20.51054059
867,21.66972906
868,21.69544481
904,19.18075013
905,19.77720196
906,19.62584028
907,20.30093608
908,21.7219536
909,22.13111491
947,19.15601845
949,21.42288726
950,22.1222486
951,21.29738516
990,20.8388618
991,21.6773327
793,58.01676588
831,55.80845027
832,57.30784215
833,58.60989507
834,59.86427328
871,57.04584719
872,58.57026749
873,59.41925134
874,59.69661388
875,59.14737388
876,58.92615708
913,58.82662709
914,60.06190704
915,59.83743629
916,57.46785324
917,55.24077103
954,59.38681443
956,59.35928372
957,56.57867601
958,54.89599289
959,55.62793105
960,57.02613335
998,58.46453509
999,56.78001664
1000,56.86859149
1040,58.94119912
1042,58.28639357
1083,58.25688863
794,48.0658568
795,50.66656854
835,48.24325062
836,48.34466507
837,49.87579774
877,47.0415923
878,45.19381192
879,44.15996675
918,44.89177353
919,44.8819196
811,44.93111109
853,52.49405836
893,34.00816255
894,40.56814842
933,33.19170928
973,33.79620211
974,34.13104319
895,39.02160191
934,30.39734013
935,32.47044223
936,38.08457125
937,38.11496045
976,31.74343268
977,34.7774308
978,36.07443643
1018,31.62716204
912,77.84908216
952,75.85180746
953,78.71588836
993,78.54843632
994,81.4099425
995,82.45867916
1034,79.96815442
1035,84.28117965
1036,83.68404795
1075,81.15781879
1076,84.26100528
1077,82.37540152
1078,80.27925476
1119,78.27672683
1120,79.0547305
1161,77.49099344
920,60.84977673
921,62.41170583
962,63.87324506
963,67.48343649
1003,65.65601659
1004,66.94485301
1005,66.3266965
1045,65.37423042
925,38.6345577
965,39.91297341
966,36.7643545
1006,38.95772547
926,42.5989938
967,41.01269414
968,43.50728079
1007,41.66032767
1048,42.27625395
1051,48.3337427
929,38.64827447
930,39.28100774
970,39.0480924
972,38.34599721
1011,40.97577655
1013,37.59387739
1014,36.76657866
945,20.87240507
946,21.12562998
948,21.30479106
986,21.03687419
987,21.06200669
988,20.70683101
989,21.04114282
1029,21.53746048
955,34.11373231
996,34.08868058
997,33.47599197
1037,33.88834939
1038,33.44540569
1039,33.41548629
1041,33.28590593
1079,33.20943841
1080,33.57379707
1081,33.66174614
1082,33.47774795
1124,32.89276962
1162,32.76987234
961,50.71371992
1001,52.9299453
1002,52.6622631
1043,52.84995775
1044,52.91501287
1084,52.57206313
1085,51.26013697
1125,52.7851228
971,42.14854006
1012,42.49858061
1052,44.88531861
1053,41.64486265
1054,39.31775473
1093,44.15378681
1094,41.60055822
1095,38.99296014
1135,41.65731702
975,31.50674694
1015,32.23323781
1016,31.96329
1017,31.55812804
1057,31.02657135
1058,30.66397717
979,45.19314997
1019,41.72942953
1020,46.68783429
1060,41.27644487
1061,51.28132407
1062,62.74108735
1101,42.28182474
1102,57.71153299
1103,78.88395052
1143,52.59871811
1144,67.28261436
1145,60.00882818
1184,44.11052195
1185,48.2416564
1186,47.45197422
1225,42.34073232
1226,42.42483494
1227,43.16710035
1265,41.10912096
1266,42.40642684
1267,42.42483494
1268,43.05430947
1306,41.09662373
1307,42.42484814
1308,42.42071372
1309,42.75287229
1346,39.00664707
1347,40.56849244
1348,41.9348821
1349,41.41959607
1387,38.57533675
1388,38.82177089
984,39.48833014
985,25.41147207
1025,25.44627715
1026,25.34994456
1027,25.52762832
1066,24.57022107
1067,24.70425959
1068,25.98656906
1107,24.92831381
1108,24.81759414
1109,25.84545503
1148,24.66646726
1149,25.16426337
1008,44.195728
1009,47.34570817
1049,43.87466937
1089,46.97409367
1023,28.29052389
1063,38.13477179
1064,28.91625386
1065,27.64914251
1104,47.58466043
1105,31.22683672
1106,26.74672799
1146,31.16392449
1147,26.84385584
1187,30.01496193
1188,28.0708432
1228,31.205335
1229,29.66309913
1269,32.00463275
1270,31.15082046
1310,32.21005027
1311,33.05110707
1024,36.48105619
1028,32.11802596
1069,32.59181204
1070,32.48130576
1111,32.34154837
1152,32.08533891
1030,29.72840518
1031,30.59328538
1071,29.96042927
1072,29.89027545
1073,30.12976287
1112,29.79800521
1113,29.99753688
1114,30.81979823
1153,30.03807576
1154,30.53112846
1046,69.385548
1047,67.22405716
1086,66.11505021
1087,66.22572596
1126,67.21384677
1166,72.27755129
1167,69.61596747
1208,70.00528238
1249,67.263123
1050,59.572911
1090,57.01620291
1091,56.60409005
1131,29.37222471
1055,40.2479053
1056,41.57246211
1096,40.05540517
1097,39.4350151
1059,26.53051478
1099,26.72413091
1100,26.89664021
1140,28.49217595
1141,28.55695004
1142,29.65880268
1088,46.02248789
1127,44.81082876
1128,43.83934605
1129,44.01581457
1130,44.084286
1168,46.30238381
1169,43.07456938
1170,43.48069229
1209,46.62817782
1210,46.01643874
1211,49.99226533
1250,46.40176598
1251,49.54845241
1092,59.82127454
1132,22.88469034
1133,39.36118884
1134,61.02896318
1173,24.86786286
1174,31.6058515
1215,60.99526493
1098,48.5114099
1138,46.74936646
1139,49.36891349
1179,46.68006538
1110,76.76590033
1150,75.01050535
1151,76.00214403
1189,71.77741831
1190,73.277229
1191,72.66836818
1192,73.36629314
1231,72.88011767
1232,71.78656278
1272,79.232835
1273,69.89253161
1313,116.4246807
1115,44.25110537
1155,43.55241236
1156,44.64283534
1194,42.00921457
1195,43.15668821
1196,44.21448572
1197,44.31110876
1235,41.33748306
1236,44.08300585
1237,44.25554024
1238,43.22585806
1276,40.487741
1277,41.3014084
1278,42.00724797
1279,43.16139429
1116,68.09916115
1117,68.64838907
1118,67.80957295
1157,66.21512563
1158,66.34121228
1159,66.2353289
1198,64.20864766
1199,64.7527845
1239,61.55404818
1240,61.21329289
1280,63.77296484
1281,61.47653936
1121,62.88159342
1122,63.15495436
1123,62.80559012
1163,61.85007309
1164,61.4342756
1165,62.07411345
1204,59.28274029
1205,60.81279352
1206,61.85552463
1207,63.13551047
1246,60.26259225
1247,61.92288758
1248,60.86102402
1288,62.10160941
1289,62.27647651
1290,60.95302465
1136,38.16796456
1137,35.81255005
1176,39.06891305
1177,37.09526461
1218,37.977978
1260,39.45071652
1160,116.9328865
1200,116.0365835
1201,115.8372732
1202,116.1110197
1203,114.8819618
1241,113.7804456
1242,115.2812319
1243,117.0193178
1244,114.2493615
1245,113.3305631
1282,110.5475681
1283,114.4933509
1284,119.4520514
1285,117.9918615
1286,114.255599
1287,115.6297023
1171,58.17913497
1172,26.47934529
1212,67.28423309
1213,58.82411628
1214,43.60362296
1254,64.29136084
1255,63.88640982
1256,69.33557434
1175,34.3968632
1216,34.70050313
1217,33.42535208
1257,38.0597086
1258,35.03355988
1259,34.58065656
1299,36.23332438
1300,37.07123138
1301,33.78779567
1341,40.86993041
1342,37.59267278
1382,46.48672389
1422,39.9636382
1178,27.69168653
1219,28.61297287
1180,34.63439699
1181,36.90206428
1220,32.12307121
1221,33.97795619
1261,32.9964679
1182,33.90629994
1183,34.12072408
1222,32.36457225
1223,33.09357653
1224,34.59183135
1263,32.34990824
1264,33.13637161
1305,33.38011799
1345,31.77535615
1193,25.96965548
1233,24.84481031
1234,25.24425448
1274,24.39955131
1275,25.5603642
1314,30.99767375
1315,24.90340792
1316,26.3132785
1230,69.02538814
1271,77.32137506
1312,113.4521495
1252,78.32380764
1291,56.90922811
1292,56.31866504
1333,56.42658647
1253,49.61098649
1293,46.88384283
1294,44.61116441
1295,35.9328787
1335,35.90014195
1336,31.56294945
1262,46.16980296
1303,41.19541492
1304,47.57106858
1344,39.58367447
1385,45.64918203
1386,48.84314129
1296,9.695395995
1337,9.384828542
1338,8.961991217
1379,8.389129576
1421,10.06585602
1297,24.28684025
1298,25.20172408
1339,21.32098316
1340,23.49410761
1380,19.23503613
1381,23.16832825
1302,53.62798023
1343,53.76110833
1317,24.09907892
1355,28.72928827
1356,24.08362706
1357,24.14929067
1358,23.87557989
1359,21.86568164
1397,23.17222426
1398,23.0751564
1399,22.93460264
1400,22.60950889
1438,22.18558606
1439,22.85292468
1440,23.24758496
1318,45.85692744
1319,45.13631736
1320,53.74903111
1360,44.01051391
1401,44.48065479
1402,49.29764988
1443,49.29485608
1484,47.77540657
1525,48.70541903
1567,51.67211962
1321,59.85199534
1322,60.11293672
1323,57.00339846
1361,51.91784878
1362,62.73530693
1363,65.37103856
1403,58.41082329
1404,60.49745193
1444,56.30468941
1445,57.52477395
1485,54.16954136
1486,56.19470545
1526,53.22660884
1324,36.86998383
1325,38.11323227
1326,37.85950827
1364,41.0455779
1366,37.84019267
1367,37.8587056
1368,37.02096161
1408,37.49606834
1409,36.6162438
1327,42.69359356
1328,42.62841481
1329,43.73625855
1330,45.20886506
1331,44.11528894
1332,42.6220146
1369,41.98445536
1370,43.00540384
1371,45.20165181
1372,44.76183492
1373,43.91183833
1410,40.46052186
1411,41.09427947
1412,43.20860715
1413,44.62321724
1414,44.03268075
1450,41.5307316
1451,39.13284495
1452,38.6581219
1453,40.37079487
1454,41.99528747
1455,43.02085602
1456,40.13735107
1493,38.29387962
1494,38.45721384
1495,40.12250522
1496,42.75140611
1497,32.05162659
1534,39.26150703
1535,38.12866517
1536,39.65607125
1537,42.66081688
1538,32.46621271
1576,39.2877887
1577,39.62077576
1334,7.237286669
1374,7.2744268
1375,6.978766663
1376,6.664438672
1415,7.229521714
1416,6.794305578
1417,5.932529522
1418,3.556410981
1457,3.773388982
1458,3.271258387
1459,1.233117388
1498,2.286445288
1499,2.281888185
1539,3.134900255
1350,38.06431424
1389,37.10312928
1390,37.03693236
1391,37.78510627
1392,40.37574022
1429,33.95775019
1430,35.0457119
1431,35.98652747
1432,37.52255897
1433,39.62436371
1473,36.36766742
1351,36.30880829
1352,37.17953687
1393,36.6465022
1434,34.02785254
1474,32.52492007
1475,33.02771556
1353,72.06341312
1354,55.94911678
1394,39.88591986
1395,37.51667152
1396,32.35564562
1435,35.6569757
1436,31.67410669
1437,29.87510989
1476,33.15267251
1477,30.48975601
1478,28.48155858
1479,28.07782784
1520,29.44521394
1365,51.11084471
1406,50.34067084
1407,50.40629424
1448,49.94318571
1490,49.46976252
1531,48.68856365
1572,49.83586234
1614,53.11252279
1377,29.0001975
1378,26.94778822
1419,12.27008149
1420,17.66575253
1460,5.355507863
1461,11.51582468
1500,10.84054136
1501,9.543362753
1383,43.72725136
1384,30.42160903
1426,31.77014115
1405,40.20022069
1446,38.55770611
1447,37.92869281
1487,37.94816175
1488,37.41254804
1527,37.059982
1568,35.77194403
1569,36.03500846
1609,35.35375042
1610,39.47055825
1650,36.95851892
1651,45.34126287
1652,49.55614839
1692,48.35945613
1423,93.15197999
1424,88.2477224
1425,68.89887146
1464,82.61584227
1465,74.79986495
1466,69.46019222
1506,68.81916791
1427,36.60111413
1428,35.16942765
1467,35.87852366
1468,37.30693878
1469,35.32311978
1470,33.34436587
1471,33.17930852
1472,34.74918315
1508,38.79747906
1509,38.76768509
1510,37.1425312
1511,35.32596555
1512,33.58937099
1550,39.31409449
1551,38.6158817
1552,37.22126201
1553,34.42929619
1592,38.87344199
1593,37.08719559
1441,45.29279878
1442,42.98455458
1481,45.86181112
1482,45.0577366
1449,41.43312469
1491,39.55149963
1492,37.70324865
1532,40.49967546
1533,38.95304326
1573,40.26298632
1574,40.27841091
1575,38.88336035
1615,41.15829086
1462,34.38679833
1502,17.01599838
1503,34.26982925
1542,24.16591793
1543,29.17787277
1544,30.49375257
1463,57.4483895
1504,51.80019142
1505,50.730849
1545,48.6208085
1546,47.64099603
1547,45.49557031
1588,46.77073125
1480,22.67909435
1483,21.90858232
1521,23.75529588
1522,24.38377471
1523,23.50700725
1524,23.26241505
1563,25.19958228
1564,24.33943617
1565,24.83930334
1566,25.32540651
1604,25.59441813
1605,24.98010376
1489,48.69714064
1528,48.0372132
1529,47.70603971
1530,47.70120358
1570,47.9914617
1571,48.30834054
1611,55.97214533
1612,59.09734301
1613,55.6366799
1653,67.16419037
1654,59.6560614
1507,42.86270142
1548,42.84499867
1549,45.40173
1589,42.17333745
1590,45.66100672
1591,46.20990754
1629,43.26583847
1630,43.76462218
1631,44.66798873
1632,43.47325161
1670,44.64318953
1671,45.06600066
1672,43.87656312
1711,45.24987836
1712,45.90778504
1713,44.53400798
1753,44.99440336
1754,45.36109548
1755,45.22830367
1794,44.08846722
1795,45.78572921
1796,46.38582655
1835,43.20527669
1836,45.61447788
1837,46.20193186
1877,44.72760296
1878,45.85289464
1879,46.24491254
1918,43.51977801
1919,45.58449489
1920,45.65903645
1921,46.13935294
1960,44.90659015
1961,45.35281877
1962,45.41638343
2001,44.08193649
2002,45.34209828
2042,43.35662524
2043,44.43219988
2084,43.46271319
1513,34.04306981
1514,35.9618193
1554,33.95583694
1555,35.63195266
1596,34.90221447
1637,35.01084546
1679,38.13464676
1515,44.10957419
1516,45.35138755
1556,45.00440538
1557,47.3530578
1597,44.76866314
1598,47.53190545
1638,44.46973519
1639,47.37570955
1680,47.42204562
1721,46.90768409
1762,46.54607876
1802,43.99044779
1803,46.94730613
1843,45.87455946
1844,47.31192782
1883,46.51718542
1884,47.21858473
1885,47.29274687
1925,47.03469734
1926,47.15445537
1517,27.21940066
1518,36.42108629
1519,33.48412989
1560,36.36408952
1561,37.94369399
1562,39.73544525
1602,40.13663368
1603,41.6329846
1644,39.67910236
1645,39.39467373
1540,13.34629291
1541,20.92609241
1580,19.86489269
1581,21.791609
1582,23.95841795
1558,38.9607738
1559,38.31212203
1599,39.26457999
1600,39.75198487
1640,40.60453505
1641,39.90159713
1681,40.40336708
1682,39.70200915
1722,39.86929518
1723,39.81347237
